Oxymax PARAMETER File 

CSV FILE CREATION:11/01/2023 13:26:54
EXPERIMENT START:02/02/2021 10:39:58
DATA FILENAME:C:\Program Files (x86)\Oxymax\EXP m Run 4.5.CDTA

GROUP/CAGE:0101
SUBJECT ID:Mouse m26
SUBJECT MASS:20.4 

GROUP/CAGE:0102
SUBJECT ID:Mouse m27
SUBJECT MASS:21.71 

GROUP/CAGE:0103
SUBJECT ID:Mouse m28
SUBJECT MASS:18.23 

GROUP/CAGE:0104
SUBJECT ID:Mouse m29
SUBJECT MASS:18.15 

SCAN RATE:90 seconds

PARAMETER:FEED1 (grams)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,02/02/2021 10:41:38 , 0 ,02/02/2021 10:41:38 , 0 ,02/02/2021 10:41:38 , 0 ,02/02/2021 10:41:38 , 0 ,
 2 ,02/02/2021 10:43:08 , 0 ,02/02/2021 10:43:08 , 0 ,02/02/2021 10:43:08 , 0 ,02/02/2021 10:43:08 , 0 ,
 3 ,02/02/2021 10:44:38 , 0 ,02/02/2021 10:44:38 , 0 ,02/02/2021 10:44:38 , 0 ,02/02/2021 10:44:38 , 0 ,
 4 ,02/02/2021 10:46:08 , 0 ,02/02/2021 10:46:08 , 0 ,02/02/2021 10:46:08 , 0 ,02/02/2021 10:46:08 , 0 ,
 5 ,02/02/2021 10:47:38 , 0 ,02/02/2021 10:47:38 , 0 ,02/02/2021 10:47:38 , 0 ,02/02/2021 10:47:38 , 0 ,
 6 ,02/02/2021 10:49:08 , 0 ,02/02/2021 10:49:08 , 0 ,02/02/2021 10:49:08 , 0 ,02/02/2021 10:49:08 , 0 ,
 7 ,02/02/2021 10:50:38 , 0 ,02/02/2021 10:50:38 , 0 ,02/02/2021 10:50:38 , 0 ,02/02/2021 10:50:38 , 0 ,
 8 ,02/02/2021 10:52:08 , 0 ,02/02/2021 10:52:08 , 0 ,02/02/2021 10:52:08 , 0 ,02/02/2021 10:52:08 , 0 ,
 9 ,02/02/2021 10:53:38 , 0 ,02/02/2021 10:53:38 , 0 ,02/02/2021 10:53:38 , 0 ,02/02/2021 10:53:38 , 0 ,
 10 ,02/02/2021 10:55:08 , 0 ,02/02/2021 10:55:08 , 0 ,02/02/2021 10:55:08 , 0 ,02/02/2021 10:55:08 , 0 ,
 11 ,02/02/2021 10:56:38 , 0 ,02/02/2021 10:56:38 , 0 ,02/02/2021 10:56:38 , 0 ,02/02/2021 10:56:38 , 0 ,
 12 ,02/02/2021 10:58:08 , 0 ,02/02/2021 10:58:08 , 0 ,02/02/2021 10:58:08 , 0 ,02/02/2021 10:58:08 , 0 ,
 13 ,02/02/2021 10:59:38 , 0 ,02/02/2021 10:59:38 , 0 ,02/02/2021 10:59:38 , 0 ,02/02/2021 10:59:38 , 0 ,
 14 ,02/02/2021 11:01:08 , 0 ,02/02/2021 11:01:08 , 0 ,02/02/2021 11:01:08 , 0 ,02/02/2021 11:01:08 , 0 ,
 15 ,02/02/2021 11:02:38 , 0 ,02/02/2021 11:02:38 , 0 ,02/02/2021 11:02:38 , 0 ,02/02/2021 11:02:38 , 0 ,
 16 ,02/02/2021 11:04:08 , 0 ,02/02/2021 11:04:08 , 0 ,02/02/2021 11:04:08 , 0 ,02/02/2021 11:04:08 , 0 ,
 17 ,02/02/2021 11:05:38 , 0 ,02/02/2021 11:05:38 , 0 ,02/02/2021 11:05:38 , 0 ,02/02/2021 11:05:38 , 0 ,
 18 ,02/02/2021 11:07:08 , 0 ,02/02/2021 11:07:08 , 0 ,02/02/2021 11:07:08 , 0 ,02/02/2021 11:07:08 , 0 ,
 19 ,02/02/2021 11:08:38 , 0 ,02/02/2021 11:08:38 , 0 ,02/02/2021 11:08:38 , 0 ,02/02/2021 11:08:38 , 0 ,
 20 ,02/02/2021 11:10:08 , 0 ,02/02/2021 11:10:08 , 0 ,02/02/2021 11:10:08 , 0 ,02/02/2021 11:10:08 , 0 ,
 21 ,02/02/2021 11:11:38 , 0 ,02/02/2021 11:11:38 , 0 ,02/02/2021 11:11:38 , 0 ,02/02/2021 11:11:38 , 0 ,
 22 ,02/02/2021 11:13:08 , 0 ,02/02/2021 11:13:08 , 0 ,02/02/2021 11:13:08 , 0 ,02/02/2021 11:13:08 , 0 ,
 23 ,02/02/2021 11:14:38 , 0 ,02/02/2021 11:14:38 , 0 ,02/02/2021 11:14:38 , 0 ,02/02/2021 11:14:38 , 0 ,
 24 ,02/02/2021 11:16:08 , 0 ,02/02/2021 11:16:08 , 0 ,02/02/2021 11:16:08 , 0 ,02/02/2021 11:16:08 , 0 ,
 25 ,02/02/2021 11:17:38 , 0 ,02/02/2021 11:17:38 , 0 ,02/02/2021 11:17:38 , 0 ,02/02/2021 11:17:38 , 0 ,
 26 ,02/02/2021 11:19:08 , 0 ,02/02/2021 11:19:08 , 0 ,02/02/2021 11:19:08 , 0 ,02/02/2021 11:19:08 , 0 ,
 27 ,02/02/2021 11:20:38 , 0 ,02/02/2021 11:20:38 , 0 ,02/02/2021 11:20:38 , 0 ,02/02/2021 11:20:38 , 0 ,
 28 ,02/02/2021 11:22:08 , 0 ,02/02/2021 11:22:08 , 0 ,02/02/2021 11:22:08 , 0 ,02/02/2021 11:22:08 , 0 ,
 29 ,02/02/2021 11:23:38 , 0 ,02/02/2021 11:23:38 , 0 ,02/02/2021 11:23:38 , 0 ,02/02/2021 11:23:38 ,-0.01 ,
 30 ,02/02/2021 11:25:08 , 0 ,02/02/2021 11:25:08 , 0 ,02/02/2021 11:25:08 , 0 ,02/02/2021 11:25:08 , 0 ,
 31 ,02/02/2021 11:26:38 , 0 ,02/02/2021 11:26:38 , 0 ,02/02/2021 11:26:38 , 0 ,02/02/2021 11:26:38 , 0 ,
 32 ,02/02/2021 11:28:08 , 0 ,02/02/2021 11:28:08 , 0 ,02/02/2021 11:28:08 , 0 ,02/02/2021 11:28:08 , 0 ,
 33 ,02/02/2021 11:29:38 , 0 ,02/02/2021 11:29:38 , 0 ,02/02/2021 11:29:38 , 0 ,02/02/2021 11:29:38 , 0 ,
 34 ,02/02/2021 11:31:08 , 0 ,02/02/2021 11:31:08 , 0 ,02/02/2021 11:31:08 , 0 ,02/02/2021 11:31:08 , 0 ,
 35 ,02/02/2021 11:32:38 , 0 ,02/02/2021 11:32:38 , 0 ,02/02/2021 11:32:38 , 0 ,02/02/2021 11:32:38 , 0 ,
 36 ,02/02/2021 11:34:08 , 0 ,02/02/2021 11:34:08 , 0 ,02/02/2021 11:34:08 , 0 ,02/02/2021 11:34:08 , 0 ,
 37 ,02/02/2021 11:35:38 , 0 ,02/02/2021 11:35:38 , 0 ,02/02/2021 11:35:38 , 0 ,02/02/2021 11:35:38 , 0 ,
 38 ,02/02/2021 11:37:08 , 0 ,02/02/2021 11:37:08 , 0 ,02/02/2021 11:37:08 , 0 ,02/02/2021 11:37:08 , 0.01 ,
