Oxymax PARAMETER File 

CSV FILE CREATION:11/01/2023 13:31:29
EXPERIMENT START:17/05/2021 10:59:48
DATA FILENAME:C:\Program Files (x86)\Oxymax\EXP m Run5.11.CDTA

GROUP/CAGE:0101
SUBJECT ID:Mouse m31
SUBJECT MASS:17.63 

GROUP/CAGE:0102
SUBJECT ID:Mouse m32
SUBJECT MASS:19.33 

GROUP/CAGE:0103
SUBJECT ID:Mouse m33
SUBJECT MASS:10 

GROUP/CAGE:0104
SUBJECT ID:Mouse m34
SUBJECT MASS:14.97 

SCAN RATE:90 seconds

PARAMETER:FEED1 (grams)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,17/05/2021 11:01:28 , 0 ,17/05/2021 11:01:28 , 0 ,17/05/2021 11:01:28 , 0 ,17/05/2021 11:01:28 , 0 ,
 2 ,17/05/2021 11:02:58 , 0 ,17/05/2021 11:02:58 , 0 ,17/05/2021 11:02:58 , 0 ,17/05/2021 11:02:58 , 0 ,
 3 ,17/05/2021 11:04:28 , 0 ,17/05/2021 11:04:28 , 0 ,17/05/2021 11:04:28 , 0 ,17/05/2021 11:04:28 , 0 ,
 4 ,17/05/2021 11:05:58 , 0 ,17/05/2021 11:05:58 , 0 ,17/05/2021 11:05:58 , 0 ,17/05/2021 11:05:58 , 0 ,
 5 ,17/05/2021 11:07:28 , 0 ,17/05/2021 11:07:28 , 0 ,17/05/2021 11:07:28 , 0 ,17/05/2021 11:07:28 , 0 ,
 6 ,17/05/2021 11:08:58 , 0 ,17/05/2021 11:08:58 , 0 ,17/05/2021 11:08:58 , 0 ,17/05/2021 11:08:58 , 0 ,
 7 ,17/05/2021 11:10:28 , 0 ,17/05/2021 11:10:28 , 0 ,17/05/2021 11:10:28 , 0 ,17/05/2021 11:10:28 , 0 ,
 8 ,17/05/2021 11:11:58 , 0 ,17/05/2021 11:11:58 , 0 ,17/05/2021 11:11:58 , 0 ,17/05/2021 11:11:58 , 0 ,
 9 ,17/05/2021 11:13:28 , 0 ,17/05/2021 11:13:28 , 0 ,17/05/2021 11:13:28 , 0 ,17/05/2021 11:13:28 , 0 ,
 10 ,17/05/2021 11:14:58 , 0 ,17/05/2021 11:14:58 , 0 ,17/05/2021 11:14:58 , 0 ,17/05/2021 11:14:58 , 0 ,
 11 ,17/05/2021 11:16:28 , 0 ,17/05/2021 11:16:28 , 0 ,17/05/2021 11:16:28 , 0 ,17/05/2021 11:16:28 , 0 ,
 12 ,17/05/2021 11:17:58 , 0 ,17/05/2021 11:17:58 , 0 ,17/05/2021 11:17:58 , 0 ,17/05/2021 11:17:58 , 0 ,
 13 ,17/05/2021 11:19:28 , 0 ,17/05/2021 11:19:28 , 0 ,17/05/2021 11:19:28 , 0 ,17/05/2021 11:19:28 , 0 ,
 14 ,17/05/2021 11:20:58 , 0 ,17/05/2021 11:20:58 , 0 ,17/05/2021 11:20:58 , 0 ,17/05/2021 11:20:58 , 0 ,
 15 ,17/05/2021 11:22:28 , 0 ,17/05/2021 11:22:28 , 0 ,17/05/2021 11:22:28 , 0 ,17/05/2021 11:22:28 , 0 ,
 16 ,17/05/2021 11:23:58 , 0 ,17/05/2021 11:23:58 , 0 ,17/05/2021 11:23:58 , 0 ,17/05/2021 11:23:58 , 0 ,
 17 ,17/05/2021 11:25:28 , 0 ,17/05/2021 11:25:28 , 0 ,17/05/2021 11:25:28 , 0 ,17/05/2021 11:25:28 , 0 ,
 18 ,17/05/2021 11:26:58 , 0 ,17/05/2021 11:26:58 , 0 ,17/05/2021 11:26:58 , 0 ,17/05/2021 11:26:58 , 0 ,
 19 ,17/05/2021 11:28:28 , 0 ,17/05/2021 11:28:28 , 0 ,17/05/2021 11:28:28 , 0 ,17/05/2021 11:28:28 , 0 ,
 20 ,17/05/2021 11:29:58 , 0 ,17/05/2021 11:29:58 , 0 ,17/05/2021 11:29:58 , 0 ,17/05/2021 11:29:58 , 0 ,
 21 ,17/05/2021 11:31:28 , 0 ,17/05/2021 11:31:28 , 0 ,17/05/2021 11:31:28 , 0 ,17/05/2021 11:31:28 , 0 ,
 22 ,17/05/2021 11:32:58 , 0 ,17/05/2021 11:32:58 , 0 ,17/05/2021 11:32:58 , 0 ,17/05/2021 11:32:58 , 0 ,
 23 ,17/05/2021 11:34:28 , 0 ,17/05/2021 11:34:28 , 0 ,17/05/2021 11:34:28 , 0 ,17/05/2021 11:34:28 , 0 ,
 24 ,17/05/2021 11:35:58 , 0 ,17/05/2021 11:35:58 , 0 ,17/05/2021 11:35:58 , 0 ,17/05/2021 11:35:58 , 0 ,
 25 ,17/05/2021 11:37:28 , 0 ,17/05/2021 11:37:28 , 0 ,17/05/2021 11:37:28 , 0 ,17/05/2021 11:37:28 , 0 ,
 26 ,17/05/2021 11:38:58 , 0 ,17/05/2021 11:38:58 , 0 ,17/05/2021 11:38:58 , 0 ,17/05/2021 11:38:58 , 0 ,
 27 ,17/05/2021 11:40:28 , 0 ,17/05/2021 11:40:28 , 0 ,17/05/2021 11:40:28 , 0 ,17/05/2021 11:40:28 , 0 ,
 28 ,17/05/2021 11:41:58 , 0 ,17/05/2021 11:41:58 , 0 ,17/05/2021 11:41:58 , 0 ,17/05/2021 11:41:58 , 0 ,
 29 ,17/05/2021 11:43:28 , 0 ,17/05/2021 11:43:28 , 0 ,17/05/2021 11:43:28 , 0 ,17/05/2021 11:43:28 , 0 ,
 30 ,17/05/2021 11:44:58 , 0 ,17/05/2021 11:44:58 , 0 ,17/05/2021 11:44:58 , 0 ,17/05/2021 11:44:58 , 0 ,
 31 ,17/05/2021 11:46:28 , 0 ,17/05/2021 11:46:28 , 0 ,17/05/2021 11:46:28 , 0 ,17/05/2021 11:46:28 , 0 ,
 32 ,17/05/2021 11:47:58 , 0 ,17/05/2021 11:47:58 , 0 ,17/05/2021 11:47:58 , 0 ,17/05/2021 11:47:58 , 0 ,
 33 ,17/05/2021 11:49:28 , 0 ,17/05/2021 11:49:28 , 0 ,17/05/2021 11:49:28 , 0 ,17/05/2021 11:49:28 , 0 ,
 34 ,17/05/2021 11:50:58 , 0 ,17/05/2021 11:50:58 , 0 ,17/05/2021 11:50:58 , 0 ,17/05/2021 11:50:58 , 0 ,
 35 ,17/05/2021 11:52:28 , 0 ,17/05/2021 11:52:28 , 0 ,17/05/2021 11:52:28 , 0 ,17/05/2021 11:52:28 , 0 ,
 36 ,17/05/2021 11:53:58 , 0 ,17/05/2021 11:53:58 , 0 ,17/05/2021 11:53:58 , 0 ,17/05/2021 11:53:58 , 0 ,
 37 ,17/05/2021 11:55:28 , 0 ,17/05/2021 11:55:28 , 0 ,17/05/2021 11:55:28 , 0 ,17/05/2021 11:55:28 , 0 ,
 38 ,17/05/2021 11:56:58 , 0 ,17/05/2021 11:56:58 , 0 ,17/05/2021 11:56:58 , 0 ,17/05/2021 11:56:58 , 0 ,
