Oxymax PARAMETER File 

CSV FILE CREATION:11/01/2023 13:34:33
EXPERIMENT START:13/01/2022 11:59:44
DATA FILENAME:C:\Program Files (x86)\Oxymax\EXP m Run6.0.CDTA

GROUP/CAGE:0101
SUBJECT ID:Mouse m35
SUBJECT MASS:19.24 

GROUP/CAGE:0102
SUBJECT ID:Mouse m36
SUBJECT MASS:21.13 

GROUP/CAGE:0103
SUBJECT ID:Mouse m37
SUBJECT MASS:19.45 

GROUP/CAGE:0104
SUBJECT ID:Empty
SUBJECT MASS:200 

SCAN RATE:90 seconds

PARAMETER:FEED1 (grams)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,13/01/2022 12:01:23 , 0 ,13/01/2022 12:01:23 , 0 ,13/01/2022 12:01:23 , 0 ,13/01/2022 12:01:23 , 0 ,
 2 ,13/01/2022 12:02:53 , 0 ,13/01/2022 12:02:53 , 0 ,13/01/2022 12:02:53 , 0 ,13/01/2022 12:02:53 , 0 ,
 3 ,13/01/2022 12:04:23 , 0 ,13/01/2022 12:04:23 , 0 ,13/01/2022 12:04:23 , 0 ,13/01/2022 12:04:23 , 0 ,
 4 ,13/01/2022 12:05:53 , 0 ,13/01/2022 12:05:53 , 0 ,13/01/2022 12:05:53 , 0 ,13/01/2022 12:05:53 , 0 ,
 5 ,13/01/2022 12:07:23 , 0 ,13/01/2022 12:07:23 , 0 ,13/01/2022 12:07:23 , 0 ,13/01/2022 12:07:23 , 0 ,
 6 ,13/01/2022 12:08:53 , 0 ,13/01/2022 12:08:53 , 0 ,13/01/2022 12:08:53 , 0 ,13/01/2022 12:08:53 , 0 ,
 7 ,13/01/2022 12:10:23 , 0 ,13/01/2022 12:10:23 , 0 ,13/01/2022 12:10:23 , 0 ,13/01/2022 12:10:23 , 0 ,
 8 ,13/01/2022 12:11:53 , 0 ,13/01/2022 12:11:53 , 0 ,13/01/2022 12:11:53 , 0 ,13/01/2022 12:11:53 , 0 ,
 9 ,13/01/2022 12:13:23 , 0 ,13/01/2022 12:13:23 , 0 ,13/01/2022 12:13:23 , 0 ,13/01/2022 12:13:23 , 0 ,
 10 ,13/01/2022 12:14:53 , 0 ,13/01/2022 12:14:53 , 0 ,13/01/2022 12:14:53 , 0 ,13/01/2022 12:14:53 , 0 ,
 11 ,13/01/2022 12:16:23 , 0 ,13/01/2022 12:16:23 , 0 ,13/01/2022 12:16:23 , 0 ,13/01/2022 12:16:23 , 0 ,
 12 ,13/01/2022 12:17:53 , 0 ,13/01/2022 12:17:53 , 0 ,13/01/2022 12:17:53 , 0 ,13/01/2022 12:17:53 , 0 ,
 13 ,13/01/2022 12:19:23 , 0 ,13/01/2022 12:19:23 , 0 ,13/01/2022 12:19:23 , 0 ,13/01/2022 12:19:23 , 0 ,
 14 ,13/01/2022 12:20:53 , 0 ,13/01/2022 12:20:53 , 0 ,13/01/2022 12:20:53 , 0 ,13/01/2022 12:20:53 , 0 ,
 15 ,13/01/2022 12:22:23 , 0 ,13/01/2022 12:22:23 , 0 ,13/01/2022 12:22:23 , 0 ,13/01/2022 12:22:23 , 0 ,
 16 ,13/01/2022 12:23:53 , 0 ,13/01/2022 12:23:53 , 0 ,13/01/2022 12:23:53 , 0 ,13/01/2022 12:23:53 , 0 ,
 17 ,13/01/2022 12:25:23 , 0 ,13/01/2022 12:25:23 , 0 ,13/01/2022 12:25:23 , 0 ,13/01/2022 12:25:23 , 0 ,
 18 ,13/01/2022 12:26:53 , 0 ,13/01/2022 12:26:53 , 0 ,13/01/2022 12:26:53 , 0 ,13/01/2022 12:26:53 , 0 ,
 19 ,13/01/2022 12:28:23 , 0 ,13/01/2022 12:28:23 , 0 ,13/01/2022 12:28:23 , 0 ,13/01/2022 12:28:23 , 0 ,
 20 ,13/01/2022 12:29:53 , 0 ,13/01/2022 12:29:53 , 0 ,13/01/2022 12:29:53 , 0 ,13/01/2022 12:29:53 , 0 ,
 21 ,13/01/2022 12:31:23 , 0 ,13/01/2022 12:31:23 , 0 ,13/01/2022 12:31:23 , 0 ,13/01/2022 12:31:23 , 0 ,
 22 ,13/01/2022 12:32:53 , 0 ,13/01/2022 12:32:53 , 0 ,13/01/2022 12:32:53 , 0 ,13/01/2022 12:32:53 , 0 ,
 23 ,13/01/2022 12:34:23 , 0 ,13/01/2022 12:34:23 , 0 ,13/01/2022 12:34:23 , 0 ,13/01/2022 12:34:23 , 0 ,
 24 ,13/01/2022 12:35:53 , 0 ,13/01/2022 12:35:53 , 0 ,13/01/2022 12:35:53 , 0 ,13/01/2022 12:35:53 , 0 ,
 25 ,13/01/2022 12:37:23 , 0 ,13/01/2022 12:37:23 , 0 ,13/01/2022 12:37:23 , 0 ,13/01/2022 12:37:23 , 0 ,
 26 ,13/01/2022 12:38:53 , 0 ,13/01/2022 12:38:53 , 0 ,13/01/2022 12:38:53 , 0 ,13/01/2022 12:38:53 , 0 ,
 27 ,13/01/2022 12:40:23 , 0 ,13/01/2022 12:40:23 , 0 ,13/01/2022 12:40:23 , 0 ,13/01/2022 12:40:23 , 0 ,
 28 ,13/01/2022 12:41:53 , 0 ,13/01/2022 12:41:53 , 0 ,13/01/2022 12:41:53 , 0 ,13/01/2022 12:41:53 , 0 ,
 29 ,13/01/2022 12:43:23 , 0 ,13/01/2022 12:43:23 , 0 ,13/01/2022 12:43:23 , 0 ,13/01/2022 12:43:23 , 0 ,
 30 ,13/01/2022 12:44:53 , 0 ,13/01/2022 12:44:53 , 0 ,13/01/2022 12:44:53 , 0 ,13/01/2022 12:44:53 , 0 ,
 31 ,13/01/2022 12:46:23 , 0 ,13/01/2022 12:46:23 , 0 ,13/01/2022 12:46:23 , 0 ,13/01/2022 12:46:23 , 0 ,
 32 ,13/01/2022 12:47:53 , 0 ,13/01/2022 12:47:53 , 0 ,13/01/2022 12:47:53 , 0 ,13/01/2022 12:47:53 , 0 ,
 33 ,13/01/2022 12:49:23 , 0 ,13/01/2022 12:49:23 , 0 ,13/01/2022 12:49:23 , 0 ,13/01/2022 12:49:23 , 0 ,
 34 ,13/01/2022 12:50:53 , 0 ,13/01/2022 12:50:53 , 0 ,13/01/2022 12:50:53 , 0 ,13/01/2022 12:50:53 , 0 ,
 35 ,13/01/2022 12:52:23 , 0 ,13/01/2022 12:52:23 , 0 ,13/01/2022 12:52:23 , 0 ,13/01/2022 12:52:23 , 0 ,
 36 ,13/01/2022 12:53:53 , 0 ,13/01/2022 12:53:53 , 0 ,13/01/2022 12:53:53 , 0 ,13/01/2022 12:53:53 , 0 ,
 37 ,13/01/2022 12:55:23 , 0 ,13/01/2022 12:55:23 , 0 ,13/01/2022 12:55:23 , 0 ,13/01/2022 12:55:23 , 0 ,
 38 ,13/01/2022 12:56:53 , 0 ,13/01/2022 12:56:53 , 0 ,13/01/2022 12:56:53 , 0 ,13/01/2022 12:56:53 , 0 ,
