Oxymax PARAMETER File 

CSV FILE CREATION:11/01/2023 13:36:35
EXPERIMENT START:25/01/2022 21:59:56
DATA FILENAME:C:\Program Files (x86)\Oxymax\EXP m Run6.12.CDTA

GROUP/CAGE:0101
SUBJECT ID:Mouse m35
SUBJECT MASS:20.79 

GROUP/CAGE:0102
SUBJECT ID:Mouse m36
SUBJECT MASS:22.73 

GROUP/CAGE:0103
SUBJECT ID:Mouse m37
SUBJECT MASS:20.98 

GROUP/CAGE:0104
SUBJECT ID:
SUBJECT MASS:200 

SCAN RATE:90 seconds

PARAMETER:FEED1 (grams)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,25/01/2022 22:01:37 , 0.03 ,25/01/2022 22:01:37 , 0 ,25/01/2022 22:01:37 , 0.01 ,25/01/2022 22:01:37 , 0 ,
 2 ,25/01/2022 22:03:07 , 0 ,25/01/2022 22:03:07 ,-0.01 ,25/01/2022 22:03:07 ,-0.01 ,25/01/2022 22:03:07 , 0 ,
 3 ,25/01/2022 22:04:37 , 0.01 ,25/01/2022 22:04:37 , 0 ,25/01/2022 22:04:37 ,-0.02 ,25/01/2022 22:04:37 , 0 ,
 4 ,25/01/2022 22:06:07 , 0.2 ,25/01/2022 22:06:07 , 0.01 ,25/01/2022 22:06:07 , 0.01 ,25/01/2022 22:06:07 , 0 ,
 5 ,25/01/2022 22:07:37 , 1.000001E-02 ,25/01/2022 22:07:37 , 0 ,25/01/2022 22:07:37 , 0 ,25/01/2022 22:07:37 , 0 ,
 6 ,25/01/2022 22:09:07 , 0 ,25/01/2022 22:09:07 , 0 ,25/01/2022 22:09:07 , 0 ,25/01/2022 22:09:07 , 0 ,
 7 ,25/01/2022 22:10:37 , 0 ,25/01/2022 22:10:37 , 0 ,25/01/2022 22:10:37 , 0 ,25/01/2022 22:10:37 , 0 ,
 8 ,25/01/2022 22:12:07 , 0 ,25/01/2022 22:12:07 , 0 ,25/01/2022 22:12:07 , 0.01 ,25/01/2022 22:12:07 , 0 ,
 9 ,25/01/2022 22:13:37 , 0 ,25/01/2022 22:13:37 , 0 ,25/01/2022 22:13:37 , 0 ,25/01/2022 22:13:37 , 0 ,
 10 ,25/01/2022 22:15:07 , 0 ,25/01/2022 22:15:07 , 0 ,25/01/2022 22:15:07 , 0 ,25/01/2022 22:15:07 , 0 ,
 11 ,25/01/2022 22:16:37 , 0 ,25/01/2022 22:16:37 , 0 ,25/01/2022 22:16:37 , 0 ,25/01/2022 22:16:37 , 0 ,
 12 ,25/01/2022 22:18:07 , 0 ,25/01/2022 22:18:07 , 0 ,25/01/2022 22:18:07 , 0 ,25/01/2022 22:18:07 , 0 ,
 13 ,25/01/2022 22:19:37 , 0 ,25/01/2022 22:19:37 , 0 ,25/01/2022 22:19:37 , 0 ,25/01/2022 22:19:37 , 0 ,
 14 ,25/01/2022 22:21:07 , 0 ,25/01/2022 22:21:07 , 0 ,25/01/2022 22:21:07 , 0 ,25/01/2022 22:21:07 , 0 ,
 15 ,25/01/2022 22:22:37 , 0 ,25/01/2022 22:22:37 , 0 ,25/01/2022 22:22:37 , 0 ,25/01/2022 22:22:37 , 0 ,
 16 ,25/01/2022 22:24:07 , 0 ,25/01/2022 22:24:07 , 0 ,25/01/2022 22:24:07 , 0 ,25/01/2022 22:24:07 , 0 ,
 17 ,25/01/2022 22:25:37 , 0 ,25/01/2022 22:25:37 , 0 ,25/01/2022 22:25:37 , 0 ,25/01/2022 22:25:37 , 0 ,
 18 ,25/01/2022 22:27:07 , 0 ,25/01/2022 22:27:07 , 0 ,25/01/2022 22:27:07 , 0 ,25/01/2022 22:27:07 , 0 ,
 19 ,25/01/2022 22:28:37 , 0 ,25/01/2022 22:28:37 , 0 ,25/01/2022 22:28:37 , 0 ,25/01/2022 22:28:37 , 0 ,
 20 ,25/01/2022 22:30:07 , 0 ,25/01/2022 22:30:07 , 0 ,25/01/2022 22:30:07 , 0 ,25/01/2022 22:30:07 , 0 ,
 21 ,25/01/2022 22:31:37 , 0.57 ,25/01/2022 22:31:37 , 0 ,25/01/2022 22:31:37 , 0 ,25/01/2022 22:31:37 , 0 ,
 22 ,25/01/2022 22:33:07 , 0.48 ,25/01/2022 22:33:07 , 0 ,25/01/2022 22:33:07 , 0 ,25/01/2022 22:33:07 , 0 ,
 23 ,25/01/2022 22:34:37 , 0 ,25/01/2022 22:34:37 , 0 ,25/01/2022 22:34:37 , 0 ,25/01/2022 22:34:37 , 0 ,
 24 ,25/01/2022 22:36:07 , 0 ,25/01/2022 22:36:07 , 0 ,25/01/2022 22:36:07 , 0 ,25/01/2022 22:36:07 , 0 ,
 25 ,25/01/2022 22:37:37 , 0 ,25/01/2022 22:37:37 , 0 ,25/01/2022 22:37:37 , 0 ,25/01/2022 22:37:37 , 0 ,
 26 ,25/01/2022 22:39:07 , 0 ,25/01/2022 22:39:07 , 0 ,25/01/2022 22:39:07 , 0 ,25/01/2022 22:39:07 , 0 ,
 27 ,25/01/2022 22:40:37 , 0 ,25/01/2022 22:40:37 , 0 ,25/01/2022 22:40:37 , 0 ,25/01/2022 22:40:37 , 0 ,
 28 ,25/01/2022 22:42:07 , 0 ,25/01/2022 22:42:07 , 0 ,25/01/2022 22:42:07 , 0 ,25/01/2022 22:42:07 , 0 ,
 29 ,25/01/2022 22:43:37 , 0 ,25/01/2022 22:43:37 , 0 ,25/01/2022 22:43:37 , 0 ,25/01/2022 22:43:37 , 0 ,
 30 ,25/01/2022 22:45:07 , 0 ,25/01/2022 22:45:07 , 0 ,25/01/2022 22:45:07 , 0 ,25/01/2022 22:45:07 , 0 ,
 31 ,25/01/2022 22:46:37 , 0 ,25/01/2022 22:46:37 , 0 ,25/01/2022 22:46:37 , 0 ,25/01/2022 22:46:37 , 0 ,
 32 ,25/01/2022 22:48:07 , 0 ,25/01/2022 22:48:07 , 0 ,25/01/2022 22:48:07 , 0 ,25/01/2022 22:48:07 , 0 ,
 33 ,25/01/2022 22:49:37 , 0 ,25/01/2022 22:49:37 , 0 ,25/01/2022 22:49:37 , 0 ,25/01/2022 22:49:37 , 0 ,
 34 ,25/01/2022 22:51:07 , 0 ,25/01/2022 22:51:07 , 0 ,25/01/2022 22:51:07 , 0 ,25/01/2022 22:51:07 , 0 ,
 35 ,25/01/2022 22:52:37 , 0 ,25/01/2022 22:52:37 , 0 ,25/01/2022 22:52:37 , 0 ,25/01/2022 22:52:37 , 0 ,
 36 ,25/01/2022 22:54:07 , 0 ,25/01/2022 22:54:07 , 0 ,25/01/2022 22:54:07 , 0 ,25/01/2022 22:54:07 , 0 ,
 37 ,25/01/2022 22:55:37 , 0 ,25/01/2022 22:55:37 , 0 ,25/01/2022 22:55:37 , 0 ,25/01/2022 22:55:37 , 0 ,
