Oxymax PARAMETER File 

CSV FILE CREATION:11/01/2023 13:27:54
EXPERIMENT START:09/02/2021 22:00:07
DATA FILENAME:C:\Program Files (x86)\Oxymax\EXP m Run 4.12.CDTA

GROUP/CAGE:0101
SUBJECT ID:Mouse m26
SUBJECT MASS:20.4 

GROUP/CAGE:0102
SUBJECT ID:Mouse m27
SUBJECT MASS:21.71 

GROUP/CAGE:0103
SUBJECT ID:Mouse m28
SUBJECT MASS:18.23 

GROUP/CAGE:0104
SUBJECT ID:Mouse m29
SUBJECT MASS:18.15 

SCAN RATE:90 seconds

PARAMETER:FEED1 (grams)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,09/02/2021 22:01:48 , 0 ,09/02/2021 22:01:48 ,-0.04 ,09/02/2021 22:01:48 ,-0.08 ,09/02/2021 22:01:48 ,-0.07 ,
 2 ,09/02/2021 22:03:18 ,-0.04 ,09/02/2021 22:03:18 ,-0.02 ,09/02/2021 22:03:18 , 0 ,09/02/2021 22:03:18 , 0.03 ,
 3 ,09/02/2021 22:04:48 , 0 ,09/02/2021 22:04:48 , 0 ,09/02/2021 22:04:48 , 9.999998E-03 ,09/02/2021 22:04:48 , 0.01 ,
 4 ,09/02/2021 22:06:18 , 0 ,09/02/2021 22:06:18 , 0 ,09/02/2021 22:06:18 , 0.01 ,09/02/2021 22:06:18 , 0 ,
 5 ,09/02/2021 22:07:48 , 0 ,09/02/2021 22:07:48 ,-0.01 ,09/02/2021 22:07:48 , 0 ,09/02/2021 22:07:48 , 0 ,
 6 ,09/02/2021 22:09:18 , 0.01 ,09/02/2021 22:09:18 , 0.01 ,09/02/2021 22:09:18 , 0 ,09/02/2021 22:09:18 , 0 ,
 7 ,09/02/2021 22:10:48 , 0 ,09/02/2021 22:10:48 , 0.59 ,09/02/2021 22:10:48 , 9.999998E-03 ,09/02/2021 22:10:48 , 0 ,
 8 ,09/02/2021 22:12:18 , 0 ,09/02/2021 22:12:18 ,-9.99999E-03 ,09/02/2021 22:12:18 , 0 ,09/02/2021 22:12:18 , 0 ,
 9 ,09/02/2021 22:13:48 , 0 ,09/02/2021 22:13:48 , 9.99999E-03 ,09/02/2021 22:13:48 , 0 ,09/02/2021 22:13:48 , 0 ,
 10 ,09/02/2021 22:15:18 , 0 ,09/02/2021 22:15:18 , 0 ,09/02/2021 22:15:18 , 0.01 ,09/02/2021 22:15:18 , 0 ,
 11 ,09/02/2021 22:16:48 , 0 ,09/02/2021 22:16:48 , 0 ,09/02/2021 22:16:48 , 0 ,09/02/2021 22:16:48 , 0.01 ,
 12 ,09/02/2021 22:18:18 , 0 ,09/02/2021 22:18:18 , 0 ,09/02/2021 22:18:18 , 0 ,09/02/2021 22:18:18 , 0 ,
 13 ,09/02/2021 22:19:48 , 0.01 ,09/02/2021 22:19:48 , 0 ,09/02/2021 22:19:48 , 0 ,09/02/2021 22:19:48 , 0 ,
 14 ,09/02/2021 22:21:18 , 0 ,09/02/2021 22:21:18 , 0 ,09/02/2021 22:21:18 , 0 ,09/02/2021 22:21:18 , 0 ,
 15 ,09/02/2021 22:22:48 , 0 ,09/02/2021 22:22:48 , 1.000005E-02 ,09/02/2021 22:22:48 , 0 ,09/02/2021 22:22:48 , 0 ,
 16 ,09/02/2021 22:24:18 , 0 ,09/02/2021 22:24:18 , 0 ,09/02/2021 22:24:18 , 0.01 ,09/02/2021 22:24:18 , 0 ,
 17 ,09/02/2021 22:25:48 , 0 ,09/02/2021 22:25:48 , 0 ,09/02/2021 22:25:48 , 0 ,09/02/2021 22:25:48 , 0 ,
 18 ,09/02/2021 22:27:18 , 0 ,09/02/2021 22:27:18 , 0 ,09/02/2021 22:27:18 , 0 ,09/02/2021 22:27:18 , 0 ,
 19 ,09/02/2021 22:28:48 , 0 ,09/02/2021 22:28:48 , 0 ,09/02/2021 22:28:48 , 0 ,09/02/2021 22:28:48 , 0 ,
 20 ,09/02/2021 22:30:18 , 0 ,09/02/2021 22:30:18 , 0 ,09/02/2021 22:30:18 , 0 ,09/02/2021 22:30:18 , 0 ,
 21 ,09/02/2021 22:31:48 , 0.01 ,09/02/2021 22:31:48 , 9.99999E-03 ,09/02/2021 22:31:48 , 0.01 ,09/02/2021 22:31:48 , 0 ,
 22 ,09/02/2021 22:33:18 ,-0.01 ,09/02/2021 22:33:18 , 0 ,09/02/2021 22:33:18 , 0 ,09/02/2021 22:33:18 , 0 ,
 23 ,09/02/2021 22:34:48 , 0.01 ,09/02/2021 22:34:48 , 0 ,09/02/2021 22:34:48 , 0 ,09/02/2021 22:34:48 , 0 ,
 24 ,09/02/2021 22:36:18 , 0 ,09/02/2021 22:36:18 , 0 ,09/02/2021 22:36:18 , 0 ,09/02/2021 22:36:18 , 0 ,
 25 ,09/02/2021 22:37:48 , 0 ,09/02/2021 22:37:48 , 0 ,09/02/2021 22:37:48 , 0 ,09/02/2021 22:37:48 , 0 ,
 26 ,09/02/2021 22:39:18 , 0 ,09/02/2021 22:39:18 , 3.999996E-02 ,09/02/2021 22:39:18 , 0 ,09/02/2021 22:39:18 , 0 ,
 27 ,09/02/2021 22:40:48 , 0 ,09/02/2021 22:40:48 , 4.000002E-02 ,09/02/2021 22:40:48 , 0 ,09/02/2021 22:40:48 , 0 ,
 28 ,09/02/2021 22:42:18 , 0 ,09/02/2021 22:42:18 , 0.64 ,09/02/2021 22:42:18 , 0 ,09/02/2021 22:42:18 , 0 ,
 29 ,09/02/2021 22:43:48 , 0 ,09/02/2021 22:43:48 , 0 ,09/02/2021 22:43:48 , 0.01 ,09/02/2021 22:43:48 , 0 ,
 30 ,09/02/2021 22:45:18 , 0 ,09/02/2021 22:45:18 , 0 ,09/02/2021 22:45:18 , 0 ,09/02/2021 22:45:18 , 0.01 ,
 31 ,09/02/2021 22:46:48 , 0 ,09/02/2021 22:46:48 , 9.99999E-03 ,09/02/2021 22:46:48 , 0 ,09/02/2021 22:46:48 , 0 ,
 32 ,09/02/2021 22:48:18 , 0 ,09/02/2021 22:48:18 , 0 ,09/02/2021 22:48:18 , 0 ,09/02/2021 22:48:18 , 0 ,
 33 ,09/02/2021 22:49:48 , 0 ,09/02/2021 22:49:48 , 0 ,09/02/2021 22:49:48 , 0 ,09/02/2021 22:49:48 , 0 ,
 34 ,09/02/2021 22:51:18 , 0.01 ,09/02/2021 22:51:18 , 0 ,09/02/2021 22:51:18 , 0 ,09/02/2021 22:51:18 , 0 ,
 35 ,09/02/2021 22:52:48 , 0 ,09/02/2021 22:52:48 , 0 ,09/02/2021 22:52:48 , 0 ,09/02/2021 22:52:48 , 0 ,
 36 ,09/02/2021 22:54:18 , 0 ,09/02/2021 22:54:18 , 0 ,09/02/2021 22:54:18 , 0 ,09/02/2021 22:54:18 , 0 ,
