Oxymax PARAMETER File 

CSV FILE CREATION:11/01/2023 13:30:07
EXPERIMENT START:06/05/2021 10:39:44
DATA FILENAME:C:\Program Files (x86)\Oxymax\EXP m Run5.0.CDTA

GROUP/CAGE:0101
SUBJECT ID:Mouse m31
SUBJECT MASS:12.17 

GROUP/CAGE:0102
SUBJECT ID:Mouse m32
SUBJECT MASS:17.3 

GROUP/CAGE:0103
SUBJECT ID:Mouse m33
SUBJECT MASS:14.98 

GROUP/CAGE:0104
SUBJECT ID:Mouse m34
SUBJECT MASS:17.33 

SCAN RATE:90 seconds

PARAMETER:FEED1 (grams)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,06/05/2021 10:41:25 , 0 ,06/05/2021 10:41:25 , 0 ,06/05/2021 10:41:25 , 0 ,06/05/2021 10:41:25 , 0 ,
 2 ,06/05/2021 10:42:55 , 0 ,06/05/2021 10:42:55 , 0 ,06/05/2021 10:42:55 , 0 ,06/05/2021 10:42:55 , 0 ,
 3 ,06/05/2021 10:44:25 , 0 ,06/05/2021 10:44:25 , 0 ,06/05/2021 10:44:25 , 0 ,06/05/2021 10:44:25 , 0 ,
 4 ,06/05/2021 10:45:55 , 0 ,06/05/2021 10:45:55 , 0 ,06/05/2021 10:45:55 , 0 ,06/05/2021 10:45:55 , 0 ,
 5 ,06/05/2021 10:47:25 , 0 ,06/05/2021 10:47:25 , 0 ,06/05/2021 10:47:25 , 0 ,06/05/2021 10:47:25 , 0 ,
 6 ,06/05/2021 10:48:55 , 0 ,06/05/2021 10:48:55 , 0 ,06/05/2021 10:48:55 , 0 ,06/05/2021 10:48:55 , 0 ,
 7 ,06/05/2021 10:50:25 , 0 ,06/05/2021 10:50:25 , 0 ,06/05/2021 10:50:25 , 0 ,06/05/2021 10:50:25 , 0 ,
 8 ,06/05/2021 10:51:55 , 0 ,06/05/2021 10:51:55 , 0 ,06/05/2021 10:51:55 , 0 ,06/05/2021 10:51:55 , 0 ,
 9 ,06/05/2021 10:53:25 , 0 ,06/05/2021 10:53:25 , 0 ,06/05/2021 10:53:25 , 0 ,06/05/2021 10:53:25 , 0 ,
 10 ,06/05/2021 10:54:55 , 0 ,06/05/2021 10:54:55 , 0 ,06/05/2021 10:54:55 , 0 ,06/05/2021 10:54:55 , 0 ,
 11 ,06/05/2021 10:56:25 , 0 ,06/05/2021 10:56:25 , 0 ,06/05/2021 10:56:25 , 0 ,06/05/2021 10:56:25 , 0 ,
 12 ,06/05/2021 10:57:55 , 0 ,06/05/2021 10:57:55 , 0 ,06/05/2021 10:57:55 , 0 ,06/05/2021 10:57:55 , 0 ,
 13 ,06/05/2021 10:59:25 , 0 ,06/05/2021 10:59:25 , 0 ,06/05/2021 10:59:25 , 0 ,06/05/2021 10:59:25 , 0 ,
 14 ,06/05/2021 11:00:55 , 0 ,06/05/2021 11:00:55 , 0 ,06/05/2021 11:00:55 , 0 ,06/05/2021 11:00:55 , 0 ,
 15 ,06/05/2021 11:02:25 , 0 ,06/05/2021 11:02:25 , 0 ,06/05/2021 11:02:25 , 0 ,06/05/2021 11:02:25 , 0 ,
 16 ,06/05/2021 11:03:55 , 0 ,06/05/2021 11:03:55 , 0 ,06/05/2021 11:03:55 , 0 ,06/05/2021 11:03:55 , 0 ,
 17 ,06/05/2021 11:05:25 , 0 ,06/05/2021 11:05:25 , 0 ,06/05/2021 11:05:25 , 0 ,06/05/2021 11:05:25 , 0 ,
 18 ,06/05/2021 11:06:55 , 0 ,06/05/2021 11:06:55 , 0 ,06/05/2021 11:06:55 , 0 ,06/05/2021 11:06:55 , 0 ,
 19 ,06/05/2021 11:08:25 , 0 ,06/05/2021 11:08:25 , 0 ,06/05/2021 11:08:25 , 0 ,06/05/2021 11:08:25 , 0 ,
 20 ,06/05/2021 11:09:55 , 0 ,06/05/2021 11:09:55 , 0 ,06/05/2021 11:09:55 , 0 ,06/05/2021 11:09:55 , 0 ,
 21 ,06/05/2021 11:11:25 , 0 ,06/05/2021 11:11:25 , 0 ,06/05/2021 11:11:25 , 0 ,06/05/2021 11:11:25 , 0 ,
 22 ,06/05/2021 11:12:55 , 0 ,06/05/2021 11:12:55 , 0 ,06/05/2021 11:12:55 , 0 ,06/05/2021 11:12:55 , 0 ,
 23 ,06/05/2021 11:14:25 , 0 ,06/05/2021 11:14:25 , 0 ,06/05/2021 11:14:25 , 0 ,06/05/2021 11:14:25 , 0 ,
 24 ,06/05/2021 11:15:55 , 0 ,06/05/2021 11:15:55 , 0 ,06/05/2021 11:15:55 , 0 ,06/05/2021 11:15:55 , 0 ,
 25 ,06/05/2021 11:17:25 , 0 ,06/05/2021 11:17:25 , 0 ,06/05/2021 11:17:25 , 0 ,06/05/2021 11:17:25 , 0 ,
 26 ,06/05/2021 11:18:55 , 0 ,06/05/2021 11:18:55 , 0 ,06/05/2021 11:18:55 , 0 ,06/05/2021 11:18:55 , 0 ,
 27 ,06/05/2021 11:20:25 , 0 ,06/05/2021 11:20:25 , 0 ,06/05/2021 11:20:25 , 0 ,06/05/2021 11:20:25 , 0 ,
 28 ,06/05/2021 11:21:55 , 0 ,06/05/2021 11:21:55 , 0 ,06/05/2021 11:21:55 , 0 ,06/05/2021 11:21:55 , 0 ,
 29 ,06/05/2021 11:23:25 , 0 ,06/05/2021 11:23:25 , 0 ,06/05/2021 11:23:25 , 0 ,06/05/2021 11:23:25 , 0 ,
 30 ,06/05/2021 11:24:55 , 0 ,06/05/2021 11:24:55 , 0 ,06/05/2021 11:24:55 , 0 ,06/05/2021 11:24:55 , 0 ,
 31 ,06/05/2021 11:26:25 , 0 ,06/05/2021 11:26:25 , 0 ,06/05/2021 11:26:25 , 0 ,06/05/2021 11:26:25 , 0 ,
 32 ,06/05/2021 11:27:55 , 0 ,06/05/2021 11:27:55 , 0 ,06/05/2021 11:27:55 , 0 ,06/05/2021 11:27:55 , 0 ,
 33 ,06/05/2021 11:29:25 , 0 ,06/05/2021 11:29:25 , 0 ,06/05/2021 11:29:25 , 0 ,06/05/2021 11:29:25 , 0 ,
 34 ,06/05/2021 11:30:55 , 0 ,06/05/2021 11:30:55 , 0 ,06/05/2021 11:30:55 , 0 ,06/05/2021 11:30:55 , 0 ,
 35 ,06/05/2021 11:32:25 , 0 ,06/05/2021 11:32:25 , 0 ,06/05/2021 11:32:25 , 0 ,06/05/2021 11:32:25 , 0 ,
 36 ,06/05/2021 11:33:55 , 0 ,06/05/2021 11:33:55 , 0 ,06/05/2021 11:33:55 , 0 ,06/05/2021 11:33:55 , 0 ,
 37 ,06/05/2021 11:35:25 , 0 ,06/05/2021 11:35:25 , 0 ,06/05/2021 11:35:25 , 0 ,06/05/2021 11:35:25 , 0 ,
 38 ,06/05/2021 11:36:55 , 0 ,06/05/2021 11:36:55 , 0 ,06/05/2021 11:36:55 , 0 ,06/05/2021 11:36:55 , 0 ,
