Oxymax PARAMETER File 

CSV FILE CREATION:11/01/2023 13:32:30
EXPERIMENT START:18/05/2021 21:59:58
DATA FILENAME:C:\Program Files (x86)\Oxymax\EXP m Run5.12.CDTA

GROUP/CAGE:0101
SUBJECT ID:Mouse m31
SUBJECT MASS:17.63 

GROUP/CAGE:0102
SUBJECT ID:Mouse m32
SUBJECT MASS:19.33 

GROUP/CAGE:0103
SUBJECT ID:Mouse m33
SUBJECT MASS:10 

GROUP/CAGE:0104
SUBJECT ID:Mouse m34
SUBJECT MASS:14.97 

SCAN RATE:90 seconds

PARAMETER:FEED1 (grams)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,18/05/2021 22:01:38 , 0.01 ,18/05/2021 22:01:38 , 0 ,18/05/2021 22:01:38 , 0 ,18/05/2021 22:01:38 , 0 ,
 2 ,18/05/2021 22:03:08 , 0 ,18/05/2021 22:03:08 , 0 ,18/05/2021 22:03:08 , 0 ,18/05/2021 22:03:08 , 0 ,
 3 ,18/05/2021 22:04:38 ,-0.01 ,18/05/2021 22:04:38 , 0 ,18/05/2021 22:04:38 , 0 ,18/05/2021 22:04:38 , 0 ,
 4 ,18/05/2021 22:06:08 , 0 ,18/05/2021 22:06:08 , 0 ,18/05/2021 22:06:08 , 0 ,18/05/2021 22:06:08 , 0 ,
 5 ,18/05/2021 22:07:38 , 0 ,18/05/2021 22:07:38 , 0 ,18/05/2021 22:07:38 , 0 ,18/05/2021 22:07:38 , 0 ,
 6 ,18/05/2021 22:09:08 , 0 ,18/05/2021 22:09:08 , 0 ,18/05/2021 22:09:08 , 0 ,18/05/2021 22:09:08 , 0 ,
 7 ,18/05/2021 22:10:38 , 0 ,18/05/2021 22:10:38 , 0 ,18/05/2021 22:10:38 , 0 ,18/05/2021 22:10:38 , 0 ,
 8 ,18/05/2021 22:12:08 , 0.02 ,18/05/2021 22:12:08 , 0 ,18/05/2021 22:12:08 , 0 ,18/05/2021 22:12:08 , 0 ,
 9 ,18/05/2021 22:13:38 , 0.02 ,18/05/2021 22:13:38 , 0 ,18/05/2021 22:13:38 , 0 ,18/05/2021 22:13:38 , 0 ,
 10 ,18/05/2021 22:15:08 , 0 ,18/05/2021 22:15:08 , 0 ,18/05/2021 22:15:08 , 0 ,18/05/2021 22:15:08 , 0 ,
 11 ,18/05/2021 22:16:38 , 0 ,18/05/2021 22:16:38 , 0 ,18/05/2021 22:16:38 , 0 ,18/05/2021 22:16:38 , 0 ,
 12 ,18/05/2021 22:18:08 , 0.43 ,18/05/2021 22:18:08 , 0 ,18/05/2021 22:18:08 , 0 ,18/05/2021 22:18:08 , 0 ,
 13 ,18/05/2021 22:19:38 , 0.13 ,18/05/2021 22:19:38 , 0 ,18/05/2021 22:19:38 , 0 ,18/05/2021 22:19:38 , 0 ,
 14 ,18/05/2021 22:21:08 , 0 ,18/05/2021 22:21:08 , 0 ,18/05/2021 22:21:08 , 0 ,18/05/2021 22:21:08 , 0 ,
 15 ,18/05/2021 22:22:38 , 0 ,18/05/2021 22:22:38 , 0 ,18/05/2021 22:22:38 , 0 ,18/05/2021 22:22:38 , 0 ,
 16 ,18/05/2021 22:24:08 , 0 ,18/05/2021 22:24:08 , 0 ,18/05/2021 22:24:08 , 0 ,18/05/2021 22:24:08 , 0 ,
 17 ,18/05/2021 22:25:38 , 0 ,18/05/2021 22:25:38 , 0 ,18/05/2021 22:25:38 , 0 ,18/05/2021 22:25:38 , 0 ,
 18 ,18/05/2021 22:27:08 , 0 ,18/05/2021 22:27:08 , 0 ,18/05/2021 22:27:08 , 0 ,18/05/2021 22:27:08 , 0 ,
 19 ,18/05/2021 22:28:38 , 0 ,18/05/2021 22:28:38 , 0 ,18/05/2021 22:28:38 , 0 ,18/05/2021 22:28:38 , 0 ,
 20 ,18/05/2021 22:30:08 , 0 ,18/05/2021 22:30:08 , 0 ,18/05/2021 22:30:08 , 0 ,18/05/2021 22:30:08 , 0 ,
 21 ,18/05/2021 22:31:38 , 0.21 ,18/05/2021 22:31:38 , 0 ,18/05/2021 22:31:38 , 0 ,18/05/2021 22:31:38 , 0 ,
 22 ,18/05/2021 22:33:08 , 0 ,18/05/2021 22:33:08 , 0 ,18/05/2021 22:33:08 , 0 ,18/05/2021 22:33:08 , 0 ,
 23 ,18/05/2021 22:34:38 , 0 ,18/05/2021 22:34:38 , 0 ,18/05/2021 22:34:38 , 0 ,18/05/2021 22:34:38 , 0 ,
 24 ,18/05/2021 22:36:08 , 0 ,18/05/2021 22:36:08 , 0 ,18/05/2021 22:36:08 , 0 ,18/05/2021 22:36:08 , 0 ,
 25 ,18/05/2021 22:37:38 , 0 ,18/05/2021 22:37:38 , 0 ,18/05/2021 22:37:38 , 0 ,18/05/2021 22:37:38 , 0 ,
 26 ,18/05/2021 22:39:08 , 0 ,18/05/2021 22:39:08 , 0 ,18/05/2021 22:39:08 , 0 ,18/05/2021 22:39:08 , 0 ,
 27 ,18/05/2021 22:40:38 , 0 ,18/05/2021 22:40:38 , 0 ,18/05/2021 22:40:38 , 0 ,18/05/2021 22:40:38 , 0 ,
 28 ,18/05/2021 22:42:08 , 0 ,18/05/2021 22:42:08 , 0 ,18/05/2021 22:42:08 , 0 ,18/05/2021 22:42:08 , 0 ,
 29 ,18/05/2021 22:43:38 , 0 ,18/05/2021 22:43:38 , 0 ,18/05/2021 22:43:38 , 0 ,18/05/2021 22:43:38 , 0 ,
 30 ,18/05/2021 22:45:08 , 0 ,18/05/2021 22:45:08 , 0 ,18/05/2021 22:45:08 , 0 ,18/05/2021 22:45:08 , 0 ,
 31 ,18/05/2021 22:46:38 , 0 ,18/05/2021 22:46:38 , 0 ,18/05/2021 22:46:38 , 0 ,18/05/2021 22:46:38 , 0 ,
 32 ,18/05/2021 22:48:08 , 0 ,18/05/2021 22:48:08 , 0 ,18/05/2021 22:48:08 , 0 ,18/05/2021 22:48:08 , 0 ,
 33 ,18/05/2021 22:49:38 , 0 ,18/05/2021 22:49:38 , 0 ,18/05/2021 22:49:38 , 0 ,18/05/2021 22:49:38 , 0 ,
 34 ,18/05/2021 22:51:08 , 0 ,18/05/2021 22:51:08 , 0 ,18/05/2021 22:51:08 , 0 ,18/05/2021 22:51:08 , 0 ,
 35 ,18/05/2021 22:52:38 , 0 ,18/05/2021 22:52:38 , 0 ,18/05/2021 22:52:38 , 0 ,18/05/2021 22:52:38 , 0 ,
 36 ,18/05/2021 22:54:08 , 0 ,18/05/2021 22:54:08 , 0 ,18/05/2021 22:54:08 , 0 ,18/05/2021 22:54:08 , 0 ,
 37 ,18/05/2021 22:55:38 , 0 ,18/05/2021 22:55:38 , 0 ,18/05/2021 22:55:38 , 0 ,18/05/2021 22:55:38 , 0 ,
 38 ,18/05/2021 22:57:08 , 0 ,18/05/2021 22:57:08 , 0 ,18/05/2021 22:57:08 , 0 ,18/05/2021 22:57:08 , 0 ,
