Oxymax PARAMETER File 

CSV FILE CREATION:11/01/2023 13:33:13
EXPERIMENT START:24/05/2021 11:39:46
DATA FILENAME:C:\Program Files (x86)\Oxymax\EXP m Run5.18.CDTA

GROUP/CAGE:0101
SUBJECT ID:
SUBJECT MASS:16.96 

GROUP/CAGE:0102
SUBJECT ID:Mouse m32
SUBJECT MASS:17.09 

GROUP/CAGE:0103
SUBJECT ID:Mouse m33
SUBJECT MASS:10 

GROUP/CAGE:0104
SUBJECT ID:Mouse m34
SUBJECT MASS:15.94 

SCAN RATE:90 seconds

PARAMETER:FEED1 (grams)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,24/05/2021 11:41:27 , 0 ,24/05/2021 11:41:27 , 0 ,24/05/2021 11:41:27 , 0 ,24/05/2021 11:41:27 , 0 ,
 2 ,24/05/2021 11:42:57 , 0 ,24/05/2021 11:42:57 , 0 ,24/05/2021 11:42:57 , 0 ,24/05/2021 11:42:57 , 0 ,
 3 ,24/05/2021 11:44:27 , 0 ,24/05/2021 11:44:27 , 0 ,24/05/2021 11:44:27 , 0 ,24/05/2021 11:44:27 , 0 ,
 4 ,24/05/2021 11:45:57 ,-0.03 ,24/05/2021 11:45:57 , 0 ,24/05/2021 11:45:57 , 0 ,24/05/2021 11:45:57 , 0 ,
 5 ,24/05/2021 11:47:27 , 0.01 ,24/05/2021 11:47:27 , 0 ,24/05/2021 11:47:27 , 0 ,24/05/2021 11:47:27 , 0 ,
 6 ,24/05/2021 11:48:57 , 0 ,24/05/2021 11:48:57 , 0 ,24/05/2021 11:48:57 ,-0.01 ,24/05/2021 11:48:57 , 0 ,
 7 ,24/05/2021 11:50:27 , 0 ,24/05/2021 11:50:27 , 0 ,24/05/2021 11:50:27 , 0.01 ,24/05/2021 11:50:27 , 0 ,
 8 ,24/05/2021 11:51:57 , 0.02 ,24/05/2021 11:51:57 , 0 ,24/05/2021 11:51:57 , 0 ,24/05/2021 11:51:57 , 0 ,
 9 ,24/05/2021 11:53:27 , 0 ,24/05/2021 11:53:27 , 0 ,24/05/2021 11:53:27 , 0 ,24/05/2021 11:53:27 , 0 ,
 10 ,24/05/2021 11:54:57 , 0 ,24/05/2021 11:54:57 , 0 ,24/05/2021 11:54:57 , 0 ,24/05/2021 11:54:57 , 0 ,
 11 ,24/05/2021 11:56:27 , 0 ,24/05/2021 11:56:27 , 0 ,24/05/2021 11:56:27 , 0 ,24/05/2021 11:56:27 , 0 ,
 12 ,24/05/2021 11:57:57 , 0 ,24/05/2021 11:57:57 , 0 ,24/05/2021 11:57:57 , 0 ,24/05/2021 11:57:57 , 0 ,
 13 ,24/05/2021 11:59:27 , 0 ,24/05/2021 11:59:27 , 0 ,24/05/2021 11:59:27 , 0 ,24/05/2021 11:59:27 , 0 ,
 14 ,24/05/2021 12:00:57 , 0 ,24/05/2021 12:00:57 , 0 ,24/05/2021 12:00:57 , 0 ,24/05/2021 12:00:57 , 0 ,
 15 ,24/05/2021 12:02:27 , 0 ,24/05/2021 12:02:27 , 0 ,24/05/2021 12:02:27 , 0 ,24/05/2021 12:02:27 , 0 ,
 16 ,24/05/2021 12:03:57 , 0 ,24/05/2021 12:03:57 , 0 ,24/05/2021 12:03:57 , 0 ,24/05/2021 12:03:57 , 0 ,
 17 ,24/05/2021 12:05:27 , 0 ,24/05/2021 12:05:27 , 0 ,24/05/2021 12:05:27 , 0 ,24/05/2021 12:05:27 , 0 ,
 18 ,24/05/2021 12:06:57 , 0 ,24/05/2021 12:06:57 , 0 ,24/05/2021 12:06:57 , 0 ,24/05/2021 12:06:57 , 0 ,
 19 ,24/05/2021 12:08:27 , 0 ,24/05/2021 12:08:27 , 0 ,24/05/2021 12:08:27 , 0 ,24/05/2021 12:08:27 , 0 ,
 20 ,24/05/2021 12:09:57 , 0 ,24/05/2021 12:09:57 , 0 ,24/05/2021 12:09:57 , 0 ,24/05/2021 12:09:57 , 0 ,
 21 ,24/05/2021 12:11:27 , 0 ,24/05/2021 12:11:27 , 0 ,24/05/2021 12:11:27 , 0 ,24/05/2021 12:11:27 , 0 ,
 22 ,24/05/2021 12:12:57 , 0 ,24/05/2021 12:12:57 , 0 ,24/05/2021 12:12:57 , 0 ,24/05/2021 12:12:57 , 0 ,
 23 ,24/05/2021 12:14:27 , 0 ,24/05/2021 12:14:27 , 0 ,24/05/2021 12:14:27 , 0 ,24/05/2021 12:14:27 , 0 ,
 24 ,24/05/2021 12:15:57 , 0 ,24/05/2021 12:15:57 , 0 ,24/05/2021 12:15:57 , 0 ,24/05/2021 12:15:57 , 0 ,
 25 ,24/05/2021 12:17:27 , 0 ,24/05/2021 12:17:27 , 0 ,24/05/2021 12:17:27 , 0 ,24/05/2021 12:17:27 , 0 ,
 26 ,24/05/2021 12:18:57 , 0 ,24/05/2021 12:18:57 , 0 ,24/05/2021 12:18:57 , 0 ,24/05/2021 12:18:57 , 0 ,
 27 ,24/05/2021 12:20:27 , 0 ,24/05/2021 12:20:27 , 0 ,24/05/2021 12:20:27 , 0 ,24/05/2021 12:20:27 , 0 ,
 28 ,24/05/2021 12:21:57 , 0 ,24/05/2021 12:21:57 , 0 ,24/05/2021 12:21:57 , 0 ,24/05/2021 12:21:57 , 0 ,
 29 ,24/05/2021 12:23:27 , 0 ,24/05/2021 12:23:27 , 0 ,24/05/2021 12:23:27 , 0 ,24/05/2021 12:23:27 , 0 ,
 30 ,24/05/2021 12:24:57 , 0 ,24/05/2021 12:24:57 , 0 ,24/05/2021 12:24:57 , 0 ,24/05/2021 12:24:57 , 0 ,
 31 ,24/05/2021 12:26:27 , 0 ,24/05/2021 12:26:27 , 0 ,24/05/2021 12:26:27 , 0 ,24/05/2021 12:26:27 , 0 ,
 32 ,24/05/2021 12:27:57 , 0 ,24/05/2021 12:27:57 , 0 ,24/05/2021 12:27:57 , 0 ,24/05/2021 12:27:57 , 0 ,
 33 ,24/05/2021 12:29:27 , 0 ,24/05/2021 12:29:27 , 0 ,24/05/2021 12:29:27 , 0 ,24/05/2021 12:29:27 , 0 ,
 34 ,24/05/2021 12:30:57 , 0 ,24/05/2021 12:30:57 , 0 ,24/05/2021 12:30:57 , 0 ,24/05/2021 12:30:57 , 0 ,
 35 ,24/05/2021 12:32:27 , 0 ,24/05/2021 12:32:27 , 0 ,24/05/2021 12:32:27 , 0 ,24/05/2021 12:32:27 , 0 ,
 36 ,24/05/2021 12:33:57 , 0 ,24/05/2021 12:33:57 , 0 ,24/05/2021 12:33:57 , 0 ,24/05/2021 12:33:57 , 0 ,
 37 ,24/05/2021 12:35:27 , 0 ,24/05/2021 12:35:27 , 0 ,24/05/2021 12:35:27 , 0 ,24/05/2021 12:35:27 , 0 ,
 38 ,24/05/2021 12:36:57 , 0 ,24/05/2021 12:36:57 , 0 ,24/05/2021 12:36:57 , 0 ,24/05/2021 12:36:57 , 0 ,
