Oxymax PARAMETER File 

CSV FILE CREATION:11/01/2023 13:30:54
EXPERIMENT START:11/05/2021 09:59:47
DATA FILENAME:C:\Program Files (x86)\Oxymax\EXP m Run5.5.CDTA

GROUP/CAGE:0101
SUBJECT ID:
SUBJECT MASS:13.74 

GROUP/CAGE:0102
SUBJECT ID:Mouse m32
SUBJECT MASS:16.72 

GROUP/CAGE:0103
SUBJECT ID:Mouse m33
SUBJECT MASS:14.98 

GROUP/CAGE:0104
SUBJECT ID:Mouse m34
SUBJECT MASS:12.44 

SCAN RATE:90 seconds

PARAMETER:FEED1 (grams)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,11/05/2021 10:01:28 , 0 ,11/05/2021 10:01:28 , 0 ,11/05/2021 10:01:28 , 0 ,11/05/2021 10:01:28 , 0 ,
 2 ,11/05/2021 10:02:58 , 0 ,11/05/2021 10:02:58 , 0 ,11/05/2021 10:02:58 , 0 ,11/05/2021 10:02:58 , 0 ,
 3 ,11/05/2021 10:04:28 , 0 ,11/05/2021 10:04:28 , 0 ,11/05/2021 10:04:28 , 0 ,11/05/2021 10:04:28 , 0 ,
 4 ,11/05/2021 10:05:58 , 0 ,11/05/2021 10:05:58 , 0 ,11/05/2021 10:05:58 , 0 ,11/05/2021 10:05:58 , 0 ,
 5 ,11/05/2021 10:07:28 , 0 ,11/05/2021 10:07:28 , 0 ,11/05/2021 10:07:28 , 0 ,11/05/2021 10:07:28 , 0 ,
 6 ,11/05/2021 10:08:58 , 0 ,11/05/2021 10:08:58 , 0 ,11/05/2021 10:08:58 , 0 ,11/05/2021 10:08:58 , 0 ,
 7 ,11/05/2021 10:10:28 , 0 ,11/05/2021 10:10:28 , 0 ,11/05/2021 10:10:28 , 0 ,11/05/2021 10:10:28 , 0 ,
 8 ,11/05/2021 10:11:58 , 0 ,11/05/2021 10:11:58 , 0 ,11/05/2021 10:11:58 , 0 ,11/05/2021 10:11:58 , 0 ,
 9 ,11/05/2021 10:13:28 , 0 ,11/05/2021 10:13:28 , 0 ,11/05/2021 10:13:28 , 0 ,11/05/2021 10:13:28 , 0 ,
 10 ,11/05/2021 10:14:58 , 0 ,11/05/2021 10:14:58 , 0 ,11/05/2021 10:14:58 , 0 ,11/05/2021 10:14:58 , 0 ,
 11 ,11/05/2021 10:16:28 , 0 ,11/05/2021 10:16:28 , 0 ,11/05/2021 10:16:28 , 0 ,11/05/2021 10:16:28 , 0 ,
 12 ,11/05/2021 10:17:58 , 0 ,11/05/2021 10:17:58 , 0 ,11/05/2021 10:17:58 , 0 ,11/05/2021 10:17:58 , 0 ,
 13 ,11/05/2021 10:19:28 , 0 ,11/05/2021 10:19:28 , 0 ,11/05/2021 10:19:28 , 0 ,11/05/2021 10:19:28 , 0 ,
 14 ,11/05/2021 10:20:58 , 0 ,11/05/2021 10:20:58 , 0 ,11/05/2021 10:20:58 , 0 ,11/05/2021 10:20:58 , 0 ,
 15 ,11/05/2021 10:22:28 , 0 ,11/05/2021 10:22:28 , 0 ,11/05/2021 10:22:28 , 0 ,11/05/2021 10:22:28 , 0 ,
 16 ,11/05/2021 10:23:58 , 0 ,11/05/2021 10:23:58 , 0 ,11/05/2021 10:23:58 , 0 ,11/05/2021 10:23:58 , 0 ,
 17 ,11/05/2021 10:25:28 , 0 ,11/05/2021 10:25:28 , 0 ,11/05/2021 10:25:28 , 0 ,11/05/2021 10:25:28 , 0 ,
 18 ,11/05/2021 10:26:58 , 0 ,11/05/2021 10:26:58 , 0 ,11/05/2021 10:26:58 , 0 ,11/05/2021 10:26:58 , 0 ,
 19 ,11/05/2021 10:28:28 , 0 ,11/05/2021 10:28:28 , 0 ,11/05/2021 10:28:28 , 0 ,11/05/2021 10:28:28 , 0 ,
 20 ,11/05/2021 10:29:58 , 0 ,11/05/2021 10:29:58 , 0 ,11/05/2021 10:29:58 , 0 ,11/05/2021 10:29:58 , 0 ,
 21 ,11/05/2021 10:31:28 , 0 ,11/05/2021 10:31:28 , 0 ,11/05/2021 10:31:28 , 0 ,11/05/2021 10:31:28 , 0 ,
 22 ,11/05/2021 10:32:58 , 0 ,11/05/2021 10:32:58 , 0 ,11/05/2021 10:32:58 , 0 ,11/05/2021 10:32:58 , 0 ,
 23 ,11/05/2021 10:34:28 , 0 ,11/05/2021 10:34:28 , 0 ,11/05/2021 10:34:28 , 0 ,11/05/2021 10:34:28 , 0 ,
 24 ,11/05/2021 10:35:58 , 0 ,11/05/2021 10:35:58 , 0 ,11/05/2021 10:35:58 , 0 ,11/05/2021 10:35:58 , 0 ,
 25 ,11/05/2021 10:37:28 , 0 ,11/05/2021 10:37:28 , 0 ,11/05/2021 10:37:28 , 0 ,11/05/2021 10:37:28 , 0 ,
 26 ,11/05/2021 10:38:58 , 0 ,11/05/2021 10:38:58 , 0 ,11/05/2021 10:38:58 , 0 ,11/05/2021 10:38:58 , 0 ,
 27 ,11/05/2021 10:40:28 , 0 ,11/05/2021 10:40:28 , 0 ,11/05/2021 10:40:28 , 0 ,11/05/2021 10:40:28 , 0 ,
 28 ,11/05/2021 10:41:58 , 0 ,11/05/2021 10:41:58 , 0 ,11/05/2021 10:41:58 , 0 ,11/05/2021 10:41:58 , 0 ,
 29 ,11/05/2021 10:43:28 , 0 ,11/05/2021 10:43:28 , 0 ,11/05/2021 10:43:28 , 0 ,11/05/2021 10:43:28 , 0 ,
 30 ,11/05/2021 10:44:58 , 0 ,11/05/2021 10:44:58 , 0 ,11/05/2021 10:44:58 , 0 ,11/05/2021 10:44:58 , 0 ,
 31 ,11/05/2021 10:46:28 , 0 ,11/05/2021 10:46:28 , 0 ,11/05/2021 10:46:28 , 0 ,11/05/2021 10:46:28 , 0 ,
 32 ,11/05/2021 10:47:58 , 0 ,11/05/2021 10:47:58 , 0 ,11/05/2021 10:47:58 , 0 ,11/05/2021 10:47:58 , 0 ,
 33 ,11/05/2021 10:49:28 , 0 ,11/05/2021 10:49:28 , 0 ,11/05/2021 10:49:28 , 0 ,11/05/2021 10:49:28 , 0 ,
 34 ,11/05/2021 10:50:58 , 0 ,11/05/2021 10:50:58 , 0 ,11/05/2021 10:50:58 , 0 ,11/05/2021 10:50:58 , 0 ,
 35 ,11/05/2021 10:52:28 , 0 ,11/05/2021 10:52:28 , 0 ,11/05/2021 10:52:28 , 0 ,11/05/2021 10:52:28 , 0 ,
 36 ,11/05/2021 10:53:58 , 0 ,11/05/2021 10:53:58 , 0 ,11/05/2021 10:53:58 , 0 ,11/05/2021 10:53:58 , 0 ,
 37 ,11/05/2021 10:55:28 , 0 ,11/05/2021 10:55:28 , 0 ,11/05/2021 10:55:28 , 0 ,11/05/2021 10:55:28 , 0 ,
 38 ,11/05/2021 10:56:58 , 0 ,11/05/2021 10:56:58 , 0 ,11/05/2021 10:56:58 , 0 ,11/05/2021 10:56:58 , 0 ,
