Oxymax PARAMETER File 

CSV FILE CREATION:11/01/2023 13:37:22
EXPERIMENT START:29/01/2022 09:54:45
DATA FILENAME:C:\Program Files (x86)\Oxymax\EXP m Run6.16.CDTA

GROUP/CAGE:0101
SUBJECT ID:Mouse m35
SUBJECT MASS:21.23 

GROUP/CAGE:0102
SUBJECT ID:Mouse m36
SUBJECT MASS:23.44 

GROUP/CAGE:0103
SUBJECT ID:Mouse m37
SUBJECT MASS:21.46 

GROUP/CAGE:0104
SUBJECT ID:
SUBJECT MASS:200 

SCAN RATE:90 seconds

PARAMETER:FEED1 (grams)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,29/01/2022 09:56:25 , 0 ,29/01/2022 09:56:25 , 0 ,29/01/2022 09:56:25 , 0 ,29/01/2022 09:56:25 , 0 ,
 2 ,29/01/2022 09:57:55 , 0 ,29/01/2022 09:57:55 , 0 ,29/01/2022 09:57:55 , 0 ,29/01/2022 09:57:55 , 0 ,
 3 ,29/01/2022 09:59:25 , 0 ,29/01/2022 09:59:25 , 0 ,29/01/2022 09:59:25 , 0 ,29/01/2022 09:59:25 , 0 ,
 4 ,29/01/2022 10:00:55 , 0 ,29/01/2022 10:00:55 , 0 ,29/01/2022 10:00:55 , 0 ,29/01/2022 10:00:55 , 0 ,
 5 ,29/01/2022 10:02:25 , 0 ,29/01/2022 10:02:25 , 0 ,29/01/2022 10:02:25 , 0 ,29/01/2022 10:02:25 , 0 ,
 6 ,29/01/2022 10:03:55 , 0 ,29/01/2022 10:03:55 , 0 ,29/01/2022 10:03:55 , 0 ,29/01/2022 10:03:55 , 0 ,
 7 ,29/01/2022 10:05:25 , 0 ,29/01/2022 10:05:25 , 0 ,29/01/2022 10:05:25 , 0 ,29/01/2022 10:05:25 , 0 ,
 8 ,29/01/2022 10:06:55 , 0 ,29/01/2022 10:06:55 , 0 ,29/01/2022 10:06:55 , 0 ,29/01/2022 10:06:55 , 0 ,
 9 ,29/01/2022 10:08:25 , 0 ,29/01/2022 10:08:25 , 0 ,29/01/2022 10:08:25 , 0 ,29/01/2022 10:08:25 , 0 ,
 10 ,29/01/2022 10:09:55 , 0 ,29/01/2022 10:09:55 , 0 ,29/01/2022 10:09:55 , 0 ,29/01/2022 10:09:55 , 0 ,
 11 ,29/01/2022 10:11:25 , 0 ,29/01/2022 10:11:25 , 0 ,29/01/2022 10:11:25 , 0 ,29/01/2022 10:11:25 , 0 ,
 12 ,29/01/2022 10:12:55 , 0 ,29/01/2022 10:12:55 , 0 ,29/01/2022 10:12:55 , 0 ,29/01/2022 10:12:55 , 0 ,
 13 ,29/01/2022 10:14:25 , 0 ,29/01/2022 10:14:25 , 0 ,29/01/2022 10:14:25 , 0 ,29/01/2022 10:14:25 , 0 ,
 14 ,29/01/2022 10:15:55 , 0 ,29/01/2022 10:15:55 , 0 ,29/01/2022 10:15:55 , 0 ,29/01/2022 10:15:55 , 0 ,
 15 ,29/01/2022 10:17:25 , 0 ,29/01/2022 10:17:25 , 0 ,29/01/2022 10:17:25 , 0 ,29/01/2022 10:17:25 , 0 ,
 16 ,29/01/2022 10:18:55 , 0 ,29/01/2022 10:18:55 , 0 ,29/01/2022 10:18:55 , 0 ,29/01/2022 10:18:55 , 0 ,
 17 ,29/01/2022 10:20:25 , 0 ,29/01/2022 10:20:25 , 0 ,29/01/2022 10:20:25 , 0 ,29/01/2022 10:20:25 , 0 ,
 18 ,29/01/2022 10:21:55 , 0 ,29/01/2022 10:21:55 , 0 ,29/01/2022 10:21:55 , 0 ,29/01/2022 10:21:55 , 0 ,
 19 ,29/01/2022 10:23:25 , 0 ,29/01/2022 10:23:25 , 0 ,29/01/2022 10:23:25 , 0 ,29/01/2022 10:23:25 , 0 ,
 20 ,29/01/2022 10:24:55 , 0 ,29/01/2022 10:24:55 , 0 ,29/01/2022 10:24:55 , 0 ,29/01/2022 10:24:55 , 0 ,
 21 ,29/01/2022 10:26:25 , 0 ,29/01/2022 10:26:25 , 0 ,29/01/2022 10:26:25 , 0 ,29/01/2022 10:26:25 , 0 ,
 22 ,29/01/2022 10:27:55 , 0 ,29/01/2022 10:27:55 , 0 ,29/01/2022 10:27:55 , 0 ,29/01/2022 10:27:55 , 0 ,
 23 ,29/01/2022 10:29:25 , 0 ,29/01/2022 10:29:25 , 0 ,29/01/2022 10:29:25 , 0 ,29/01/2022 10:29:25 , 0 ,
 24 ,29/01/2022 10:30:55 , 0 ,29/01/2022 10:30:55 , 0 ,29/01/2022 10:30:55 , 0 ,29/01/2022 10:30:55 , 0 ,
 25 ,29/01/2022 10:32:25 , 0 ,29/01/2022 10:32:25 , 0 ,29/01/2022 10:32:25 , 0 ,29/01/2022 10:32:25 , 0 ,
 26 ,29/01/2022 10:33:55 , 0 ,29/01/2022 10:33:55 , 0 ,29/01/2022 10:33:55 , 0 ,29/01/2022 10:33:55 , 0 ,
 27 ,29/01/2022 10:35:25 , 0 ,29/01/2022 10:35:25 , 0 ,29/01/2022 10:35:25 , 0 ,29/01/2022 10:35:25 , 0 ,
 28 ,29/01/2022 10:36:55 , 0 ,29/01/2022 10:36:55 , 0 ,29/01/2022 10:36:55 , 0 ,29/01/2022 10:36:55 , 0 ,
 29 ,29/01/2022 10:38:25 , 0 ,29/01/2022 10:38:25 , 0 ,29/01/2022 10:38:25 , 0 ,29/01/2022 10:38:25 , 0 ,
 30 ,29/01/2022 10:39:55 , 0 ,29/01/2022 10:39:55 , 0 ,29/01/2022 10:39:55 , 0 ,29/01/2022 10:39:55 , 0 ,
 31 ,29/01/2022 10:41:25 , 0 ,29/01/2022 10:41:25 , 0 ,29/01/2022 10:41:25 , 0 ,29/01/2022 10:41:25 , 0 ,
 32 ,29/01/2022 10:42:55 , 0 ,29/01/2022 10:42:55 , 0 ,29/01/2022 10:42:55 , 0 ,29/01/2022 10:42:55 , 0 ,
 33 ,29/01/2022 10:44:25 , 0 ,29/01/2022 10:44:25 , 0 ,29/01/2022 10:44:25 , 0 ,29/01/2022 10:44:25 , 0 ,
 34 ,29/01/2022 10:45:55 , 0 ,29/01/2022 10:45:55 , 0 ,29/01/2022 10:45:55 , 0 ,29/01/2022 10:45:55 , 0 ,
 35 ,29/01/2022 10:47:25 , 0 ,29/01/2022 10:47:25 , 0 ,29/01/2022 10:47:25 , 0 ,29/01/2022 10:47:25 , 0 ,
 36 ,29/01/2022 10:48:55 , 0 ,29/01/2022 10:48:55 , 0 ,29/01/2022 10:48:55 , 0 ,29/01/2022 10:48:55 , 0 ,
 37 ,29/01/2022 10:50:25 , 0 ,29/01/2022 10:50:25 , 0 ,29/01/2022 10:50:25 , 0 ,29/01/2022 10:50:25 , 0 ,
 38 ,29/01/2022 10:51:55 , 0 ,29/01/2022 10:51:55 , 0 ,29/01/2022 10:51:55 , 0 ,29/01/2022 10:51:55 , 0 ,
