Oxymax PARAMETER File 

CSV FILE CREATION:11/01/2023 13:35:50
EXPERIMENT START:16/01/2022 09:59:56
DATA FILENAME:C:\Program Files (x86)\Oxymax\EXP m Run6.3.CDTA

GROUP/CAGE:0101
SUBJECT ID:Mouse m35
SUBJECT MASS:19.79 

GROUP/CAGE:0102
SUBJECT ID:Mouse m36
SUBJECT MASS:21.43 

GROUP/CAGE:0103
SUBJECT ID:Mouse m37
SUBJECT MASS:19.76 

GROUP/CAGE:0104
SUBJECT ID:Empty
SUBJECT MASS:200 

SCAN RATE:90 seconds

PARAMETER:FEED1 (grams)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,16/01/2022 10:01:37 , 0 ,16/01/2022 10:01:37 , 0 ,16/01/2022 10:01:37 , 0 ,16/01/2022 10:01:37 , 0 ,
 2 ,16/01/2022 10:03:07 , 0 ,16/01/2022 10:03:07 , 0 ,16/01/2022 10:03:07 , 0 ,16/01/2022 10:03:07 , 0 ,
 3 ,16/01/2022 10:04:37 , 0 ,16/01/2022 10:04:37 , 0 ,16/01/2022 10:04:37 , 0 ,16/01/2022 10:04:37 , 0 ,
 4 ,16/01/2022 10:06:07 , 0 ,16/01/2022 10:06:07 , 0 ,16/01/2022 10:06:07 , 0 ,16/01/2022 10:06:07 , 0 ,
 5 ,16/01/2022 10:07:37 , 0 ,16/01/2022 10:07:37 , 0 ,16/01/2022 10:07:37 , 0 ,16/01/2022 10:07:37 , 0 ,
 6 ,16/01/2022 10:09:07 , 0 ,16/01/2022 10:09:07 , 0 ,16/01/2022 10:09:07 , 0 ,16/01/2022 10:09:07 , 0 ,
 7 ,16/01/2022 10:10:37 , 0 ,16/01/2022 10:10:37 , 0 ,16/01/2022 10:10:37 , 0 ,16/01/2022 10:10:37 , 0 ,
 8 ,16/01/2022 10:12:07 , 0 ,16/01/2022 10:12:07 , 0 ,16/01/2022 10:12:07 , 0 ,16/01/2022 10:12:07 , 0 ,
 9 ,16/01/2022 10:13:37 , 0 ,16/01/2022 10:13:37 , 0 ,16/01/2022 10:13:37 , 0 ,16/01/2022 10:13:37 , 0 ,
 10 ,16/01/2022 10:15:07 , 0 ,16/01/2022 10:15:07 , 0 ,16/01/2022 10:15:07 , 0 ,16/01/2022 10:15:07 , 0 ,
 11 ,16/01/2022 10:16:37 , 0 ,16/01/2022 10:16:37 , 0 ,16/01/2022 10:16:37 , 0 ,16/01/2022 10:16:37 , 0 ,
 12 ,16/01/2022 10:18:07 , 0 ,16/01/2022 10:18:07 , 0 ,16/01/2022 10:18:07 , 0 ,16/01/2022 10:18:07 , 0 ,
 13 ,16/01/2022 10:19:37 , 0 ,16/01/2022 10:19:37 , 0 ,16/01/2022 10:19:37 , 0 ,16/01/2022 10:19:37 , 0 ,
 14 ,16/01/2022 10:21:07 , 0 ,16/01/2022 10:21:07 , 0 ,16/01/2022 10:21:07 , 0 ,16/01/2022 10:21:07 , 0 ,
 15 ,16/01/2022 10:22:37 , 0 ,16/01/2022 10:22:37 , 0 ,16/01/2022 10:22:37 , 0 ,16/01/2022 10:22:37 , 0 ,
 16 ,16/01/2022 10:24:07 , 0 ,16/01/2022 10:24:07 , 0 ,16/01/2022 10:24:07 , 0 ,16/01/2022 10:24:07 , 0 ,
 17 ,16/01/2022 10:25:37 , 0 ,16/01/2022 10:25:37 , 0 ,16/01/2022 10:25:37 , 0 ,16/01/2022 10:25:37 , 0 ,
 18 ,16/01/2022 10:27:07 , 0 ,16/01/2022 10:27:07 , 0 ,16/01/2022 10:27:07 , 0 ,16/01/2022 10:27:07 , 0 ,
 19 ,16/01/2022 10:28:37 , 0 ,16/01/2022 10:28:37 , 0 ,16/01/2022 10:28:37 , 0 ,16/01/2022 10:28:37 , 0 ,
 20 ,16/01/2022 10:30:07 , 0 ,16/01/2022 10:30:07 , 0 ,16/01/2022 10:30:07 , 0 ,16/01/2022 10:30:07 , 0 ,
 21 ,16/01/2022 10:31:37 , 0 ,16/01/2022 10:31:37 , 0 ,16/01/2022 10:31:37 , 0 ,16/01/2022 10:31:37 , 0 ,
 22 ,16/01/2022 10:33:07 , 0 ,16/01/2022 10:33:07 , 0 ,16/01/2022 10:33:07 , 0 ,16/01/2022 10:33:07 , 0 ,
 23 ,16/01/2022 10:34:37 , 0 ,16/01/2022 10:34:37 , 0 ,16/01/2022 10:34:37 , 0 ,16/01/2022 10:34:37 , 0 ,
 24 ,16/01/2022 10:36:07 , 0 ,16/01/2022 10:36:07 , 0 ,16/01/2022 10:36:07 , 0 ,16/01/2022 10:36:07 , 0 ,
 25 ,16/01/2022 10:37:37 , 0 ,16/01/2022 10:37:37 , 0 ,16/01/2022 10:37:37 , 0 ,16/01/2022 10:37:37 , 0 ,
 26 ,16/01/2022 10:39:07 , 0 ,16/01/2022 10:39:07 , 0 ,16/01/2022 10:39:07 , 0 ,16/01/2022 10:39:07 , 0 ,
 27 ,16/01/2022 10:40:37 , 0 ,16/01/2022 10:40:37 , 0 ,16/01/2022 10:40:37 , 0 ,16/01/2022 10:40:37 , 0 ,
 28 ,16/01/2022 10:42:07 , 0 ,16/01/2022 10:42:07 , 0 ,16/01/2022 10:42:07 , 0 ,16/01/2022 10:42:07 , 0 ,
 29 ,16/01/2022 10:43:37 , 0 ,16/01/2022 10:43:37 , 0 ,16/01/2022 10:43:37 , 0 ,16/01/2022 10:43:37 , 0 ,
 30 ,16/01/2022 10:45:07 , 0 ,16/01/2022 10:45:07 , 0 ,16/01/2022 10:45:07 , 0 ,16/01/2022 10:45:07 , 0 ,
 31 ,16/01/2022 10:46:37 , 0 ,16/01/2022 10:46:37 , 0 ,16/01/2022 10:46:37 , 0 ,16/01/2022 10:46:37 , 0 ,
 32 ,16/01/2022 10:48:07 , 0 ,16/01/2022 10:48:07 , 0 ,16/01/2022 10:48:07 , 0 ,16/01/2022 10:48:07 , 0 ,
 33 ,16/01/2022 10:49:37 , 0 ,16/01/2022 10:49:37 , 0 ,16/01/2022 10:49:37 , 0 ,16/01/2022 10:49:37 , 0 ,
 34 ,16/01/2022 10:51:07 , 0 ,16/01/2022 10:51:07 , 0 ,16/01/2022 10:51:07 , 0 ,16/01/2022 10:51:07 , 0 ,
 35 ,16/01/2022 10:52:37 , 0 ,16/01/2022 10:52:37 , 0 ,16/01/2022 10:52:37 , 0 ,16/01/2022 10:52:37 , 0 ,
 36 ,16/01/2022 10:54:07 , 0 ,16/01/2022 10:54:07 , 0 ,16/01/2022 10:54:07 , 0 ,16/01/2022 10:54:07 , 0 ,
 37 ,16/01/2022 10:55:37 , 0 ,16/01/2022 10:55:37 , 0 ,16/01/2022 10:55:37 , 0 ,16/01/2022 10:55:37 , 0 ,
 38 ,16/01/2022 10:57:07 , 0 ,16/01/2022 10:57:07 , 0 ,16/01/2022 10:57:07 , 0 ,16/01/2022 10:57:07 , 0 ,
